"Genes","E13.5_Skin_Mes_Ventral_121","E13.5_Skin_Mes_Ventral_122","E13.5_Skin_Mes_Ventral_123","E13.5_Skin_Mes_Ventral_126","E13.5_Skin_Mes_Ventral_128","E13.5_Mammary_Mes_111","E13.5_Mammary_Mes_113","E13.5_Mammary_Mes_114","E13.5_Mammary_Mes_115","E13.5_Mammary_Mes_117","E16.5_Mammary_Mes_41","E16.5_Mammary_Mes_42","E16.5_Mammary_Mes_43","E16.5_Mammary_Mes_46","E16.5_Mammary_Mes_62","E16.5_Fatpad_52","E16.5_Fatpad_53","E16.5_Fatpad_56","E16.5_Fatpad_57","E16.5_Fatpad_58","E13.5_SMG_Mes_1","E13.5_SMG_Mes_2","E13.5_SMG_Mes_3","E13.5_SMG_Mes_5","E13.5_SMG_Mes_6","Markers_of_tissue"
"Glcci1",961.519723058088,833.559888367287,684.204754060029,577.805330168387,628.82710760887,350.286218440196,277.54835228576,335.910559854186,398.597793814772,367.012223102379,183.320109872264,286.194603805274,247.980253878962,311.818091013912,143.057810596329,228.641887156837,273.418744277632,177.099760498124,379.536175557838,206.794339240651,225.202037273528,301.545195002014,256.827711849474,230.870549702414,222.770966219442,"E13.5_Skin_Mes_Ventral"
"Chl1",612.601239249772,741.421531627287,452.171990183954,1302.04182467329,470.871599612984,239.273350247098,173.811375504495,206.84966305149,214.788921035468,236.901041896348,167.144018583449,190.251736591927,138.627779441775,254.523453345423,235.301631336666,315.638168369991,316.949527926372,492.786092571883,240.058928292917,246.43147456625,190.903261946477,242.835936252725,132.094314993893,210.996732206816,129.084149529173,"E13.5_Skin_Mes_Ventral"
"Sytl2",1947.914462114,1662.99306995556,1881.82145607207,2192.98648109133,2328.21620525392,554.607874082926,496.69321452486,1013.37170411625,653.933536818468,479.725659971592,397.336667603396,486.253734066412,509.967906209691,520.486661248274,407.134504854083,980.354504833264,1234.88873219241,993.867927386049,876.544965234703,626.244018026331,607.042311130771,191.294897814097,309.943827951536,240.358733397513,214.804816819278,"E13.5_Skin_Mes_Ventral"
"Ap1s2",1715.29743558615,2644.93449910334,1658.39835829655,2418.14191461671,2054.16214441639,855.923289865123,778.594869423824,915.147919230768,898.180974761385,910.48499104935,746.482727783576,721.432523963381,849.560142633749,802.391884819275,667.615852597098,741.717690998569,728.672946151859,675.906944307488,743.333651471708,773.037619307081,740.611931306337,649.940875775014,777.936814160753,600.223632763164,882.610369800008,"E13.5_Skin_Mes_Ventral"
"Irx3",2348.54818157968,1875.01616251672,2324.72426328519,2016.83892982363,1998.81142879741,619.257055427695,755.146981068824,671.850638947242,970.092725575296,823.320367169634,176.502155464651,111.084740148938,102.349215205429,139.348252938212,47.1435598830721,57.0119194180138,53.2084025467692,25.0242591800385,36.3939236865969,33.2373104128624,5.28358741158854,11.2736774829085,7.06343038351625,5.60907911553772,6.93147729185394,"E13.5_Skin_Mes_Ventral"
"Bmp5",549.451517363435,1226.46067627057,606.230463165233,861.943967078149,864.54143123034,200.627288585356,174.275081767111,314.275044224569,181.196256654162,138.777661915143,52.032551314134,66.1419649252624,61.0257291456305,56.3138755099065,36.7149337493198,222.856714641486,316.37888029842,189.126630605864,299.750048473191,270.020065802883,247.163635188936,116.388994866918,112.738312872964,116.051753826219,51.1144957018446,"E13.5_Skin_Mes_Ventral"
"Itga11",1453.12910401564,1104.50750262753,1557.51074469604,1550.43146826015,1336.03241065304,290.873919267056,459.972203611449,410.238118079926,463.029597054984,404.209948344309,120.995151008406,183.829175015919,197.886710803428,173.201500706609,197.139774404696,80.2788996960675,69.299307192641,20.3023907997223,53.4840733752913,33.0224587796153,81.4457546164838,56.1171519807464,76.4828929709736,61.6105918094095,39.1139065273119,"E13.5_Skin_Mes_Ventral"
"Itgbl1",2704.31868735307,2539.99297063876,2956.41043337943,2782.01481221192,3309.34686455529,759.984925477438,1168.36857425182,872.205815094784,1308.34925928627,1516.98997323075,41.5024167253868,42.2524895926569,48.3527255147405,70.8779754302127,44.7113976511712,2.49879165514842,9.91136648100556,2.94402971328511,11.2987641698931,3.77949292074766,3.91535972898538,0,1.06549624820655,2.94527148622686,0,"E13.5_Skin_Mes_Ventral"
"Hoxc9",581.543317573974,514.901906697681,411.012270949999,463.325201741007,392.022043483547,144.117529069011,150.937596654494,145.323455511005,156.167425674015,178.695691264415,69.437496979011,80.5165327779382,70.263922721733,70.8152983195579,80.733412518568,28.1173445338381,33.7057647291954,42.4029834270288,29.496004071217,29.2598929884636,3.5438590883139,5.67119287913602,0.959149196728243,1.77721041343016,0,"E13.5_Skin_Mes_Ventral"
"C530008M17Rik",830.911461071842,746.55512330865,969.379703716171,1379.83439978488,1061.59107310052,145.266749509953,235.890511271686,264.360119154211,286.219223778528,231.059573589072,247.732247461224,443.707396452461,248.433904271994,308.967223838961,247.235432978437,135.152299545979,294.612565662987,336.366721843077,354.801490361192,153.100730096396,314.530582019839,235.246193192761,544.019713692358,618.325477786115,514.659720100593,"E13.5_Skin_Mes_Ventral"
